Name,Batch_Size,Epoch,Learning_Rate,Weight_Decay,trial,F1-Score
serene-mountain-146,8,5.0,2.36886395036e-05,0.0467983561008607,1,0
morning-jazz-147,16,5.0,1.14309838763e-05,0.2909729556485982,2,0
grateful-rain-148,32,2.0,6.79896242159e-05,0.1574269294896713,3,0
royal-terrain-149,8,3.0,2.70361606666e-05,0.1099085529881075,4,0
peachy-night-150,32,5.0,2.8580510658e-05,0.0139351238159993,5,0
prime-frog-151,32,1.0,4.05083778132e-05,0.2425192044349383,6,0
astral-galaxy-152,8,2.0,2.01657216918e-05,0.148553073033381,7,0
vague-lion-153,16,3.0,1.08240183815e-05,0.1560204063533432,8,0
magic-fire-154,8,1.0,3.52135880546e-05,0.2684482051282946,9,0
likely-eon-155,16,1.0,3.9618677904e-05,0.0975990992289793,10,0
apricot-puddle-156,16,4.0,1.04840771867e-05,0.2244527461841231,11,1
happy-river-157,16,4.0,1.03401581236e-05,0.2959848396789958,12,0
morning-elevator-158,16,1.0,1.56420214282e-05,0.2242182561915627,13,0
true-frost-159,16,1.0,1.49797504215e-05,0.2113560645135634,14,0
dazzling-silence-160,16,4.0,1.02521091097e-05,0.2915964905993204,15,0
peachy-disco-161,16,1.0,1.63055991867e-05,0.1958043600674943,16,0
whole-gorge-162,16,1.0,7.64226082628e-05,0.2460781551961345,17,0
dark-sponge-163,16,1.0,1.3565735941e-05,0.2605318665815675,18,0
logical-universe-164,16,1.0,1.83150237827e-05,0.1934021055804256,19,0
rosy-sound-165,32,1.0,5.36827591777e-05,0.298805096808364,20,0
colorful-sky-166,16,1.0,2.15941486766e-05,0.1780390085481261,21,0
peach-gorge-167,16,1.0,1.08943956689e-05,0.281674854881042,22,0
fast-water-168,16,1.0,1.25691641009e-05,0.2339314505487672,23,0
eager-fog-169,16,4.0,1.04840771867e-05,0.2244527461841231,24,0
