Name,Batch_Size,Epoch,Learning_Rate,Weight_Decay,trial,F1-Score
fresh-sunset-96,16,3.0,2e-05,0.1,1,0
happy-wave-97,32,3.0,5e-05,0.1,2,0
dazzling-hill-98,16,3.0,5e-05,0.0,3,0
generous-rain-99,16,5.0,5e-05,0.0,4,0
rose-dew-100,16,5.0,5e-05,0.1,5,0
effortless-sky-101,16,5.0,2e-05,0.0,6,0
upbeat-lake-102,16,1.0,5e-05,0.0,7,0
atomic-moon-103,32,3.0,3e-05,0.0,8,0
splendid-haze-104,32,5.0,2e-05,0.0,9,0
rare-pond-105,32,5.0,2e-05,0.0,10,0
comic-water-106,16,3.0,3e-05,0.1,11,1
serene-river-107,16,1.0,2e-05,0.1,12,0
amber-cherry-108,16,1.0,2e-05,0.1,13,0
denim-dust-109,16,1.0,2e-05,0.1,14,0
deft-deluge-110,16,1.0,2e-05,0.0,15,0
glorious-thunder-111,16,1.0,2e-05,0.1,16,0
youthful-wind-112,16,1.0,2e-05,0.0,17,0
worthy-shape-113,16,3.0,3e-05,0.1,18,0
cosmic-sea-114,32,5.0,2e-05,0.0,19,0
happy-wildflower-115,16,1.0,2e-05,0.1,20,0
fine-hill-116,16,3.0,3e-05,0.1,21,0
genial-pond-117,32,3.0,3e-05,0.0,22,0
dandy-plant-118,32,3.0,3e-05,0.0,23,0
hopeful-sun-119,16,3.0,2e-05,0.1,24,0
