cleaned_tweet,sentiment
lah iya sama gak mau kebuka coretax nya,negative
selamat pagi dunia tipu tipu dimulai dengan coretax,negative
efaktur coretax belum berfungsi selalu logout pada saat create faktur,neutral
pagi pagi gue udah belajar coretax aja,neutral
oh ternyata belum ada opsi registrasi akun baru seperti di preview ya di coretax versi sekarang,neutral
min saya mau bayar ssp bulanan desember pake djp online ga bs pake coretax ga ada pilihannya lalu harus gimana,neutral
sebagian besar wp op hanya tahunya melapor sbg kk di spt dan secara sistem yg selama ini berjalan tidak mempermasalahkan itu sedangkan u melakukan perubahan menyatukan npwp juga ribet admnya hrs dtg ke kpp dan dg berlakunya coretax ini siap lah akan ditagih pajak kurang bayar,negative
halo ketika login coretax dan atur ulang kata sandi untuk orang pribadi saya terlewat mengisi passpharase baru bagaimana solusinya untuk dapat membuat passpharase orang pribadi yang terlewat terisi sedangkan kode otorisasi membutuhkan passpharase orang pribadi,neutral
pusing bgt hari ini di kerjaan mikirin coretax,negative
status ph mt yang penghasilan suami dan istri dihitung ulang dan kurang bayar itu bukan hal baru ini sudah aturan dari lama tapi belum jalan saja dengan coretax dan akses pajak yang luas bisa dijalankan saran saya kecuali ada pisah harta npwp digabung saja good day,negative
berita bagusnya coretax belum berlaku untuk spt yang pelaporannya maksimal maret ini jadi masih ada kesempatan untuk melakukan perbaikan untuk penghasilan di yang kemungkinan waktu lapornya maksimal maret sudah menggunakan coretax,neutral
karena data pajak juga sudah tersambung dengan kependudukan sangat mungkin angka penghasilan suami dan istri itu sudah jadi di sistem perpajakan jadinya dulu yang self assesment diisi rp dan lewat saja begitu coretax berlaku tidak bisa lagi,negative
mengapa waktu saya membaca materi sosialisasi coretax ada poin penting terkait status suami istri validasi wp wajib ph mt perhitungan ph mt disediakan format terstandarisasi dalam satu kesatuan spt wp tidak perlu lagi melampirkan dokumen tambahan,neutral
yang selama ini terjadi ketika kurang bayar biasanya wajib pajak akan mengisi angka tersebut dengan rp karena pelaporan dari spt bersifat self assesment dan sistem juga tidak mandatory lewat lewat saja tapi ketika coretax berlaku belum tentu bisa lagi,neutral
anda pasangan suami istri yang sejak menikah belum mengurus penggabungan npwp masih lapor spt masing masing fyi setelah psiap pembaharuan sistem inti administrasi perpajakan atau coretax berlaku ada potensi suami istri mengalami kurang bayar mengapa dan bagaimana baiknya,negative
oiya coretax sehat sehat organ dalam,positive
buka wa atasan makin anxious soalnya wtf di samping banyak kerjaan nunggu masih perlu adaptasi sama coretax ketambahan huru hara pmk ini gimana ya min ak menjalani hari,negative
januari siap edan stres mikirin coretax a beloman semua karena rekap gaji desember pun belom lengkap blm lagi pph desember blm lagi kudu ajarin klien cara si coretax ini sedangkan gue sndiri pun msh kaga paham sm si coretax ini cara dan info jg blm sejelas itu bener cape,negative
kepala pusing banget gara seharian belajar aturan baru ppn dan langsung sosialisasi ke klien mana semua pada wa minta dijelasin satu belom lagi abis gini sosialisasi coretax hmm baik ya otakku,negative
apakah pic coretax harus pengurus atau yang tercantum namanya di akta atau staf biasa bisa jadi pic coretax,neutral
tambahin tim pajak pak ini efaktur gimana kabarnya pph gimana kabarnya coretax gimana kabarnya mana juknisnya tp tim pajak masih bisa merayakan libur soalnya gada yg bisa dikerjain nunggu negara kasih kejelasan dulu,negative
halo jika seorang pribadi mempunyai beberapa perusahaan dan dia pic coretax untuk beberapa perusahaan tersebut apakah saat login untuk beberapa perusahaan tsb dgn nik dan sandi yang sama sedangkan satu perusahaan dengan perusahaan next,neutral
mengumpulkan energi menghadapi era coretax besok,neutral
semangat belajar coretax,positive
sampe minggu depan bakalan linglung fokus kepecah coretax sama war tiket my brain is'nt braining,negative
dari tgl udah ribet pada nanyain masalah ppn tbtb beberapa jam menuju tgl peraturan batal belum lagi katanya awal semua udh pindah ke web coretax tp sampe sekarang blm ada kejelasan tata cara pakenya gmn puyeng bener awal tahun,negative
nahh iya sistem coretax lebih menjelimet ditambah apakah sistemnya bakal siap dengan data sebanyak itu wkwk pakai djp aja menjelang batas bayar dan batas lapor lemotnya kyk apa gmn coretax yg pengerjaannya disitu semua,negative
ppn nambah kerjaan aja iya sih gak jadi naik nambah kerjaan nyari dpp lain dengan bruto dikali jelasin ke klien nambah in sistem dll jelasin coretax mana coretax juga baru banget,negative
singkat saja ga paham ppn sekarang ga paham coretax pula,negative
katanya gak perlu minta nsfp lagi di ini krn udh by sistem coretax langsung tp ada beberapa yg udh minta nsfp dan diinput manual di efaktur jadi efaktur masih bisa digunain bakal kerekam juga dicoretax nanti ya allah besok agendaku padet lagi,negative
baik kak kak maaf mau nanya lagi di era coretax ini kan ada disuruh buat passphrase baru nah kalau passphrase nya saya buat dengan passphrase yang sama dengan sebelum masa era coretax apakah bisa atau baiknya gimana kaak,neutral
berpikiran untuk ngga masuk besok karena pasti hectic ppn lah trs coretax lah apa gua kabur aja ya soalnya kalo ajuin resign pasti ditolak,negative
jangan terlalu mendewakan orang luar coretax banyak orang indo nya malah semenjak banyak dev dan ba nya diganti jadi orang indo coretax mulai banyak progress nya dipegang orang luar malah stuck kemaren,negative
belum siap besok harus berhadapan dengan coretax dan ppn ala pemerintah,neutral
awal gue dibayang coretax dan issue ppn ga siap banget besok ngantor wkwkwkwk,negative
tiap buka twitter yang gua cari keyword coretax agar tdk merasa sendiri di dalam kebingungan ini,neutral
bilangnya coretax mulai jan tapi baru jan aja dah begini hadaaahhh blm lagi tata cara penggunaan lengkapnya jg blm jelas meskipun udah bbrp kali ikut webinar ya yg dibahas hal hal simple nya aja aneh ya negara ini,negative
adegan dewasa ditanya klien soal tarif ppn sama implementasi coretax sementara konsultan aja blm ngerti coretax,negative
kak iya aku lagi pkl di kantor pajak dan beberapa staff masih banyak yg kesulitan buat pakai coretax,neutral
bilangnya coretax mulai jan tapi baru jan aja dah begini hadaaahhh blm lagi tata cara penggunaan lengkapnya jg blm jelas meskipun udah bbrp kali ikut webinar ya yg dibahas hal hal simple nya aja aneh ya negara ini,negative
semoga implementasi coretax diundur dah ribettttttt,negative
bikin ribet aja ini coretax anying,negative
gw baru aware ps g gegara lo hahaha sebelumnya baca uu hpp ya yg penting aja secara halaman uu coretax lbh halaman gw cuma selewat baca,negative
mjb kak berarti fix mulai hr ini semua pindah ke coretax ya tapi klo pelaporan pph bln des masih pakai e bupot dan spt tahunan masih e filling,neutral
gw belom belajar coretax,negative
untuk ppn agak ribet sichhh emang wkwkwk it yg bikin coretax aja pake it luar wak sdm kita tak mampu,negative
januari coretax dpp ppn perfect combo kepusingan besok,neutral
kalau pake efaktur bisa sih import from excel gt skrg kan pake coretax pada belom tau ini implementasinya gmn wkwk,neutral
batal sistem aplikasi pake coretax bikin faktur bingung selamattttt,negative
blum lagi belajar coretax,negative
oke nilai ppnnya ga berubah tapi secara administrasi akan lebih rumit gws finance accounting tax seluruh indonesia belum lagi kedepannya pakai coretax which is web base you know lah web pemerintahan kek mana,negative
after deeply research coretax saya menyimpulkan tax consultant bakal laku keras dan naik daun bgt,positive
bisa gak sih kl bikin pmk begini kasih waktu buat masa berlaku nya ini bikin hari ini besok berlaku mana bahasa undang belibet ada sosialisasi dl kek mana barengan sama mulai coretax plis lah,negative
kenapa semua terjadi di lsg coretax kalkulasi baru ppn,neutral
jadinya udah gak bisa lapor spt pakai pdf lagi kah harus pakai coretax,negative
dagelan emang coba liat besok coretax pasti belom siap,negative
amin semoga pak terimakasih responnya di lapangan minimal di komunitas dan grup grup pajak yang saya ikuti sudah kacau sekali apalagi besok bebarengan dengan implementasi coretax yg kami semua perlu byk penyesuaian semoga tidak mengganggu proses bisnis,negative
awal tahun pusing ppn dan coretax,negative
sibuk bgt dari pagi beberes rumah nyicil kerjaan kantor belajar coretax menyala tgl ku,negative
