Name,Batch_Size,Epoch,Learning_Rate,Weight_Decay,trial,F1-Score
magic-river-71,8,0.9940357852882704,7.37402731195e-05,0.07674663224568,1,0
helpful-deluge-72,32,2.0,6.37297286597e-05,0.2788956804983394,2,0
sage-surf-73,32,4.0,1.25002550285e-05,0.1800476450982812,3,1
solar-meadow-74,16,5.0,1.24644878823e-05,0.1945210223299123,4,0
ruby-monkey-75,16,5.0,3.11988020337e-05,0.0619573200748489,5,0
firm-river-76,16,3.0,2.55785995227e-05,0.1374894558843882,6,0
toasty-river-77,8,1.0,7.97681877515e-05,0.2062049348856135,7,0
celestial-bird-78,16,1.0,6.29454639539e-05,0.1212783027822138,8,0
sparkling-glade-79,16,1.0,2.20857975303e-05,0.1066771372049428,9,0
proud-gorge-80,8,1.0,4.42452616097e-05,0.185398914896533,10,0
zesty-glade-81,8,2.0,1.63468711793e-05,0.2213645588800434,11,0
silver-gorge-82,32,3.0,1.06419175782e-05,0.0014096525940199,12,0
skilled-pyramid-83,32,3.0,1.0350559939e-05,0.2698344675812376,13,0
silver-universe-84,32,2.0,1.64806078005e-05,0.177347006184882,14,0
trim-star-85,16,3.0,1.45816924211e-05,0.2509944090652708,15,0
exalted-firebrand-86,32,2.0,1.67307066293e-05,0.2503950646833809,16,0
skilled-pine-87,16,3.0,1.40888582534e-05,0.2977271211293267,17,0
eager-shadow-88,32,2.0,2.18066390603e-05,0.240544194932997,18,0
genial-pond-89,16,1.0,3.83538366862e-05,0.1614996486132032,19,0
faithful-lion-90,32,2.0,2.00460964015e-05,0.2360836672531789,20,0
fluent-frost-91,8,2.0,1.2563869474e-05,0.0589679525204217,21,0
wise-donkey-92,32,1.0,2.83919843298e-05,0.0875568846810559,22,0
confused-cloud-93,32,1.0,2.15222339861e-05,0.2269657289358279,23,0
azure-rain-94,32,1.0,1.82028542901e-05,0.2493765157338872,24,0
